Timestamp,Event Type,Duration (s),Confidence,Details
"2025-09-19 01:14:46","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [561, 263, 79, 196]}"
"2025-09-19 01:14:47","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [436, 289, 163, 146]}"
"2025-09-19 01:14:48","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [504, 325, 77, 100]}"
"2025-09-19 01:14:50","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [568, 277, 72, 169]}"
"2025-09-19 01:14:51","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [515, 279, 125, 181]}"
"2025-09-19 01:14:52","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [512, 317, 66, 88]}"
"2025-09-19 01:14:53","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [516, 316, 63, 88]}"
"2025-09-19 01:14:54","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [513, 330, 64, 82]}"
"2025-09-19 01:14:55","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [513, 324, 61, 66]}"
"2025-09-19 01:14:56","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [514, 328, 63, 81]}"
"2025-09-19 01:14:56","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [567, 278, 73, 173]}"
"2025-09-19 01:14:57","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [515, 320, 63, 88]}"
"2025-09-19 01:14:58","Notes Detected","0","0.5","{'object_class': 'book', 'bbox': [0, 0, 186, 216]}"
"2025-09-19 01:14:59","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [511, 266, 56, 91]}"
"2025-09-19 01:15:00","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [517, 265, 56, 78]}"
"2025-09-19 01:15:03","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [504, 260, 72, 95]}"
"2025-09-19 01:15:04","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [511, 257, 96, 147]}"
"2025-09-19 01:15:04","Notes Detected","0","0.5","{'object_class': 'book', 'bbox': [0, 0, 186, 229]}"
"2025-09-19 01:15:05","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [483, 259, 98, 99]}"
"2025-09-19 01:15:05","Notes Detected","0","0.5","{'object_class': 'book', 'bbox': [0, 0, 188, 231]}"
"2025-09-19 01:15:06","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [487, 258, 122, 149]}"
"2025-09-19 01:15:06","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [575, 215, 65, 123]}"
"2025-09-19 01:15:06","Notes Detected","0","0.5","{'object_class': 'book', 'bbox': [0, 0, 188, 218]}"
"2025-09-19 01:15:07","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [511, 259, 66, 104]}"
"2025-09-19 01:15:08","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [465, 242, 172, 168]}"
"2025-09-19 01:15:08","Notes Detected","0","0.5","{'object_class': 'book', 'bbox': [0, 0, 190, 255]}"
"2025-09-19 01:15:11","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [509, 326, 115, 147]}"
"2025-09-19 01:15:13","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [578, 269, 62, 139]}"
"2025-09-19 01:15:17","Multiple Faces","0","0.8","{'face_count': 3}"
"2025-09-19 01:15:18","Multiple Faces","0","0.8","{'face_count': 2}"
"2025-09-19 01:15:22","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [546, 327, 76, 94]}"
"2025-09-19 01:15:23","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [547, 329, 74, 110]}"
"2025-09-19 01:15:24","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [540, 327, 93, 108]}"
"2025-09-19 01:15:25","Phone Detected","0","0.6","{'object_class': 'cell phone', 'bbox': [538, 267, 102, 187]}"
"2025-09-19 01:15:31","Multiple Faces","0","0.8","{'face_count': 2}"

SUMMARY
Candidate Name,ssss
Interview Duration,00:36:38
Integrity Score,0.0
